,URL,ville,code postal,adresse,prix,surface,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
6653,https://www.zoopla.co.uk//for-sale/details/54040820?search_identifier=5f379b47885253facf691c9da832d0ff, London,E16,"Land And Roadways At Jasper Road, Canning Town, London E16",5000.0,NA,Enchères,A,NA,NA,NA,Land for sale,Terrain,NA
6608,https://www.zoopla.co.uk//for-sale/details/54042379?search_identifier=5f379b47885253facf691c9da832d0ff, Surrey,CR2,"Garage At 51 St. Augustines Avenue, South Croydon, Surrey CR2",5000.0,NA,Enchères,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
345,https://www.zoopla.co.uk//for-sale/details/54166530?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Grove Park,SE12,"Amblecote Road, Grove Park SE12",5000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
343,https://www.zoopla.co.uk//for-sale/details/54166545?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Southall,UB1,"Lady Margaret Road, Southall UB1",5000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
339,https://www.zoopla.co.uk//for-sale/details/54166665?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Shooters Hill,SE18,"Plum Lane, Shooters Hill SE18",5000.0,NA,vente,A,NA,NA,NA,Land for sale,Terrain,NA
5710,https://www.zoopla.co.uk//for-sale/details/54063918?search_identifier=20d287dba7a84f2a5f13a696af814b1a, Edgware,HA8,"Land To The South West, Of Burnt Oak Broadway, Edgware HA8",6000.0,NA,Enchères,A,NA,NA,NA,Land for sale,Terrain,NA
6586,https://www.zoopla.co.uk//for-sale/details/54034837?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, London. UK.,SW15,"Jordan Court, Upper Richmond Road, Putney, London. UK. SW15",7500.0,NA,vente,A,NA,NA,NA,Studio for sale,Studio,NA
446,https://www.zoopla.co.uk//for-sale/details/54165252?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, Tottenham,N17,"Kings Road, Tottenham N17",10000.0,NA,vente,A,NA,NA,NA,Land for sale,Terrain,NA
448,https://www.zoopla.co.uk//for-sale/details/54165257?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, Chingford,E4,"Woodland Road, Chingford E4",10000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
9411,https://www.zoopla.co.uk//for-sale/details/53977556?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, Surrey,KT6,"Ground Rents, 19 Tankerton Road, Tolworth, Surrey KT6",10000.0,NA,Enchères,A,NA,NA,NA,Property for sale,Maison avec jardin,NA
9419,https://www.zoopla.co.uk//for-sale/details/53977447?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, London,SE13,"Ground Rents, 272 Leahurst Road, Lewisham, London SE13",12000.0,NA,Enchères,A,NA,NA,NA,Property for sale,Maison avec jardin,NA
9417,https://www.zoopla.co.uk//for-sale/details/53977444?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, Kent,DA15,"Garage 60, Westerham Drive, Sidcup, Kent DA15",15000.0,NA,Enchères,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
9418,https://www.zoopla.co.uk//for-sale/details/53977450?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, Kent,BR3,"Ground Rents, 8 Manor Road, Beckenham, Kent BR3",16000.0,NA,Enchères,A,NA,NA,NA,Property for sale,Maison avec jardin,NA
8549,https://www.zoopla.co.uk//for-sale/details/53996904?search_identifier=5f35bcae69a3ad3db52097326a52c397, Ilford,IG5,"Tiptree Crescent, Ilford IG5",20000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
338,https://www.zoopla.co.uk//for-sale/details/54166664?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, New Cross,SE14,"Avonley Road, Water Lane, New Cross SE14",20000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
3066,https://www.zoopla.co.uk//for-sale/details/54114332?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, London,E2,"St. Peter's Close, London E2",25000.0,NA,vente,A,1,NA,NA,Parking/garage for sale,Garage/parking,NA
4258,https://www.zoopla.co.uk//for-sale/details/54092615?search_identifier=4a383953bb5d5f63baf930d0fea37709, Twickenham,TW1,"38 Oak Lane, Twickenham TW1",25000.0,NA,vente,A,NA,NA,NA,Block of flats for sale,Appartement,NA
9127,https://www.zoopla.co.uk//for-sale/details/53983406?search_identifier=fa9bb80b9e735581213c71171a2eb876, Isleworth,TW7,"Garages, Rothbury Gardens, Isleworth TW7",27000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
9414,https://www.zoopla.co.uk//for-sale/details/53977505?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, Kent,BR6,"Garages, White Hart Road, Orpington, Kent BR6",30000.0,NA,Enchères,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
9416,https://www.zoopla.co.uk//for-sale/details/53977491?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, Kent,DA5,"Land Rear Of Jubilee Mansions, Vicarage Road, Bexley, Kent DA5",40000.0,NA,Enchères,A,NA,NA,NA,Land for sale,Terrain,NA
7884,https://www.zoopla.co.uk//for-sale/details/54010613?search_identifier=b2cba6063ea22c7a60103115a1c89a1e, London,NW10,"Bashley Road Park Site, Bashley Road, Eailing, London NW10",40000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
7883,https://www.zoopla.co.uk//for-sale/details/54010612?search_identifier=b2cba6063ea22c7a60103115a1c89a1e, London,TW5,"Hartlands Park, Church Road, Hounslow, London TW5",40000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
999,https://www.zoopla.co.uk//for-sale/details/54154702?search_identifier=40eb412b77e323cbd846caf27f840b62, Surrey,CR2,"41 Normanton Road, South Croydon, Surrey CR2",45000.0,NA,vente,A,NA,NA,NA,Property for sale,Maison avec jardin,NA
8910,https://www.zoopla.co.uk//for-sale/details/53990488?search_identifier=ae7571eb27cdceacec80290edf19116a, London,SE15,"29 Parking Spaces At Grove Court, 55 Peckham Grove, Peckham, London SE15",45000.0,NA,Enchères,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
346,https://www.zoopla.co.uk//for-sale/details/54166534?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Enfield,EN3,"Kingsway, Enfield EN3",50000.0,NA,vente,A,NA,NA,NA,Parking/garage for sale,Garage/parking,NA
450,https://www.zoopla.co.uk//for-sale/details/54165219?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, Plaistow,E13,"Grange Road, Plaistow E13",50000.0,NA,vente,A,NA,NA,NA,Property for sale,Maison avec jardin,NA
