,URL,pages,description,prix
6344,https://www.zoopla.co.uk//for-sale/details/54042379?search_identifier=f490103197de394e17cb927473b3767d,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=64,Parking/garage for sale,5000.0
10,https://www.zoopla.co.uk//for-sale/details/54166665?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Land for sale,5000.0
6389,https://www.zoopla.co.uk//for-sale/details/54040820?search_identifier=f490103197de394e17cb927473b3767d,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=64,Land for sale,5000.0
14,https://www.zoopla.co.uk//for-sale/details/54166545?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,5000.0
16,https://www.zoopla.co.uk//for-sale/details/54166530?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,5000.0
5431,https://www.zoopla.co.uk//for-sale/details/54063918?search_identifier=2947b15dd8dbdfa4fa1d243f925218c7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=55,Land for sale,6000.0
6323,https://www.zoopla.co.uk//for-sale/details/54034837?search_identifier=f490103197de394e17cb927473b3767d,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=64,Studio for sale,7500.0
121,https://www.zoopla.co.uk//for-sale/details/54165252?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,Land for sale,10000.0
123,https://www.zoopla.co.uk//for-sale/details/54165257?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,Parking/garage for sale,10000.0
9172,https://www.zoopla.co.uk//for-sale/details/53977556?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Property for sale,10000.0
9179,https://www.zoopla.co.uk//for-sale/details/53977447?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Property for sale,12000.0
9178,https://www.zoopla.co.uk//for-sale/details/53977444?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Parking/garage for sale,15000.0
9180,https://www.zoopla.co.uk//for-sale/details/53977450?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Property for sale,16000.0
9,https://www.zoopla.co.uk//for-sale/details/54166664?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,20000.0
8307,https://www.zoopla.co.uk//for-sale/details/53996904?search_identifier=e25c9b19ff1e3e21c7a147c4ac5a3d89,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=84,Parking/garage for sale,20000.0
2763,https://www.zoopla.co.uk//for-sale/details/54114332?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,Parking/garage for sale,25000.0
3965,https://www.zoopla.co.uk//for-sale/details/54092615?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,Block of flats for sale,25000.0
8888,https://www.zoopla.co.uk//for-sale/details/53983406?search_identifier=a49d84a76d51c91593b6c41cc23a59fb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=89,Parking/garage for sale,27000.0
9175,https://www.zoopla.co.uk//for-sale/details/53977505?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Parking/garage for sale,30000.0
9987,https://www.zoopla.co.uk//for-sale/details/53950293?search_identifier=0650b4e1c619fcf5b85dd66fbc73cdce,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=100,Parking/garage for sale,35000.0
9176,https://www.zoopla.co.uk//for-sale/details/53977491?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Land for sale,40000.0
7633,https://www.zoopla.co.uk//for-sale/details/54010612?search_identifier=90c7d4111554be06a8cc1d4a52a2a993,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=77,2 bed flat for sale,40000.0
7632,https://www.zoopla.co.uk//for-sale/details/54010613?search_identifier=90c7d4111554be06a8cc1d4a52a2a993,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=77,2 bed flat for sale,40000.0
678,https://www.zoopla.co.uk//for-sale/details/54154702?search_identifier=7628ff5369be1389d7c928a9eb4c75d1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=7,Property for sale,45000.0
8670,https://www.zoopla.co.uk//for-sale/details/53990488?search_identifier=ae4027b310421f37f8f05a5c6443bc54,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=87,Parking/garage for sale,45000.0
17,https://www.zoopla.co.uk//for-sale/details/54166534?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,50000.0
127,https://www.zoopla.co.uk//for-sale/details/54165219?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,Property for sale,50000.0
3826,https://www.zoopla.co.uk//new-homes/details/54094687?search_identifier=821909f7980636a44357a204c6cd4dde,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=39,1 bed flat for sale,58750.0
3831,https://www.zoopla.co.uk//new-homes/details/54094579?search_identifier=821909f7980636a44357a204c6cd4dde,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=39,1 bed flat for sale,59375.0
15,https://www.zoopla.co.uk//for-sale/details/54166525?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,65000.0
8987,https://www.zoopla.co.uk//new-homes/details/52642220?search_identifier=ae7571eb27cdceacec80290edf19116a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=90,1 bed flat for sale,65000.0
1510,https://www.zoopla.co.uk//for-sale/details/54139759?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,Land for sale,65000.0
3713,https://www.zoopla.co.uk//for-sale/details/54095988?search_identifier=126ebb161c184d66f0c85a917d8aca4b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=38,2 bed flat for sale,65000.0
6766,https://www.zoopla.co.uk//for-sale/details/54029827?search_identifier=71875a417683f11ff7d7eefc45d4e42c,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=68,2 bed flat for sale,70000.0
2249,https://www.zoopla.co.uk//for-sale/details/54124190?search_identifier=7855bd28b4f8269093228e149b31c366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=23,2 bed flat for sale,72500.0
