,URL,code postal,adresse,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
0,https://www.zoopla.co.uk//new-homes/details/54347970?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SE13,"Waterside Court, Weardale Road, London SE13",417500,NA,vente,N,2,NA,NA,2 bed flat for sale,Appartement,NA
1,https://www.zoopla.co.uk//new-homes/details/54347971?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SE13,"Waterside Court, Weardale Road, London SE13",104375,NA,vente,N,2,NA,NA,2 bed flat for sale,Appartement,NA
2,https://www.zoopla.co.uk//new-homes/details/54347908?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SW8,"Keybridge Tower, 1 Exchange Gardens, Vauxhall SW8",950000,NA,vente,N,2,2,1,2 bed flat for sale,Appartement,NA
3,https://www.zoopla.co.uk//for-sale/details/54347894?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,EN5,"Blenheim Road, Barnet EN5",450000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
4,https://www.zoopla.co.uk//new-homes/details/54347854?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,E6,"Kempton Road, London E6",335000,42,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
5,https://www.zoopla.co.uk//for-sale/details/54347824?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,E14,"Chipka Street, Docklands E14",430000,78.96755,vente,A,2,1,NA,2 bed flat for sale,Appartement,NA
6,https://www.zoopla.co.uk//for-sale/details/54347815?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SE26,"Ridgewell Close, Sydenham SE26",475000,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
7,https://www.zoopla.co.uk//for-sale/details/54347808?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,IG6,"Fencepiece Road, Ilford IG6",625000,NA,vente,A,NA,NA,NA,Land for sale,Terrain,NA
8,https://www.zoopla.co.uk//new-homes/details/54347805?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,CR0,"Wellesley Road, Croydon CR0",394950,65.0321,vente,N,2,1,NA,2 bed flat for sale,Appartement,NA
9,https://www.zoopla.co.uk//for-sale/details/54347794?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SE6,"Blythe Vale, London SE6",710000,NA,vente,A,3,1,3,3 bed terraced house for sale,Maison,NA
10,https://www.zoopla.co.uk//for-sale/details/54347796?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SW1W,"Gatliff Road, Chelsea SW1W",137500,45.52247,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
11,https://www.zoopla.co.uk//new-homes/details/54347790?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,UB1,"High Street, Southall UB1",350000,50,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
12,https://www.zoopla.co.uk//new-homes/details/54347768?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,UB1,"High Street, Southall UB1",290000,41,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
13,https://www.zoopla.co.uk//for-sale/details/52314039?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SW11,"Altissima House, 340 Queenstown Road, London SW11",1050000,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
14,https://www.zoopla.co.uk//for-sale/details/54347684?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SE15,"9 Evan Cook Close, Peckham SE15",500000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
15,https://www.zoopla.co.uk//for-sale/details/54347594?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,CR0,"Addiscombe Court Road, Addiscombe, Croydon CR0",499950,NA,vente,A,3,2,2,3 bed property for sale,Maison avec jardin,NA
16,https://www.zoopla.co.uk//for-sale/details/54347425?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SW18,"Trefoil Road, Wandsworth, London SW18",1600000,NA,vente,A,4,NA,NA,4 bed terraced house for sale,Maison,NA
17,https://www.zoopla.co.uk//for-sale/details/54347426?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,SW18,"Brocklebank Road, London SW18",1100000,NA,vente,A,4,NA,NA,4 bed terraced house for sale,Maison,NA
18,https://www.zoopla.co.uk//for-sale/details/54347424?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,E1,"Brushfield Street, Spitalfields, London E1",1495000,NA,vente,A,3,NA,NA,3 bed maisonette for sale,Maisonette,NA
