,URL,ville,code postal,adresse,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
0,https://www.zoopla.co.uk//for-sale/details/54184067?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,SW1P,"Romney House, 47 Marsham Street, Westminster, London SW1P",820000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
1,https://www.zoopla.co.uk//for-sale/details/54184059?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,York Way,N1C,"Luma Building, York Way N1C",700000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
2,https://www.zoopla.co.uk//for-sale/details/54184049?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,N12,"Woodside Grange Road, Woodside Park N12",475000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
3,https://www.zoopla.co.uk//for-sale/details/51788203?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Coulsdon,CR5,"Byron Avenue, Coulsdon CR5",695000,NA,vente,A,4,1,3,4 bed detached house for sale,Maison,NA
4,https://www.zoopla.co.uk//for-sale/details/54184039?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,High Barnet,EN5,"Moxon Street, High Barnet, Hertfordshire EN5",650000,NA,vente,A,3,3,2,3 bed property for sale,Maison avec jardin,NA
5,https://www.zoopla.co.uk//for-sale/details/54184022?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Beckenham,BR3,"Crescent Road, Beckenham BR3",170000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
6,https://www.zoopla.co.uk//for-sale/details/54184027?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW20,"Kingston Road, London SW20",499950,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
7,https://www.zoopla.co.uk//for-sale/details/54183990?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Epsom,KT19,"Ashford Court, Epsom, Surrey KT19",425000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
8,https://www.zoopla.co.uk//for-sale/details/54183997?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW6,"Langthorne Street, London SW6",775000,96,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA
9,https://www.zoopla.co.uk//for-sale/details/54184006?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW3,"Finchley Road, Hampstead, London NW3",395000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
10,https://www.zoopla.co.uk//for-sale/details/54184007?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Wallington,SM6,"The Chase, Wallington SM6",550000,NA,vente,A,4,2,3,4 bed terraced house for sale,Maison,NA
11,https://www.zoopla.co.uk//for-sale/details/54183991?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,N3,"Spencer Courtyard, Regents Park Road, London N3",875000,NA,vente,A,3,2,NA,3 bed terraced house for sale,Maison,NA
12,https://www.zoopla.co.uk//for-sale/details/54183984?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW7,"Rutland Gardens, London SW7",7500000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
13,https://www.zoopla.co.uk//for-sale/details/54183645?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW18,"Brocklebank Road, Wandsworth, London SW18",1075000,NA,vente,A,4,2,2,4 bed terraced house for sale,Maison,NA
14,https://www.zoopla.co.uk//for-sale/details/54183155?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Brentford,TW8,"Brent Lea, Brentford TW8",459950,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
15,https://www.zoopla.co.uk//for-sale/details/54182983?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Bexley,DA5,"Dorchester Avenue, Bexley DA5",475000,NA,vente,A,4,1,2,4 bed end terrace house for sale,Maison,NA
16,https://www.zoopla.co.uk//for-sale/details/54182770?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW19,"Marlborough Road, Colliers Wood, London SW19",600000,NA,vente,A,2,1,2,2 bed semi-detached house for sale,Maison,NA
17,https://www.zoopla.co.uk//for-sale/details/54182777?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Disraeli Road, Putney, London SW15",1295000,NA,vente,A,4,NA,NA,4 bed terraced house for sale,Maison,NA
18,https://www.zoopla.co.uk//for-sale/details/54182762?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Isleworth,TW7,"Woodlands Road, Isleworth TW7",625000,NA,vente,A,3,NA,1,3 bed semi-detached house for sale,Maison,NA
19,https://www.zoopla.co.uk//for-sale/details/51236148?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Mitcham,CR4,"Mill Green, London Road, Mitcham Junction, Mitcham CR4",175000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
20,https://www.zoopla.co.uk//for-sale/details/54182743?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Epsom,KT17,"East Street, Epsom KT17",450000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
21,https://www.zoopla.co.uk//for-sale/details/54182733?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Croydon,CR0,"Elmhurst Court, St. Peters Road, Croydon CR0",350000,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
22,https://www.zoopla.co.uk//for-sale/details/54182715?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Pinner,HA5,"Cedar Drive, Pinner HA5",1100000,NA,vente,A,5,4,3,5 bed detached house for sale,Maison,NA
23,https://www.zoopla.co.uk//for-sale/details/54182718?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E12,"Sheringham Avenue, Manor Park, London E12",579995,NA,vente,A,4,1,1,4 bed terraced house for sale,Maison,NA
24,https://www.zoopla.co.uk//for-sale/details/54182726?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Hampton,TW12,"High Street, Hampton Hill, Hampton TW12",285000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
25,https://www.zoopla.co.uk//for-sale/details/54182708?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW3,"Ornan Road, Belsize Park, London NW3",925000,70,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
26,https://www.zoopla.co.uk//for-sale/details/54182670?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,N12,"Salvin Court, Torrington Park, North Finchley N12",625000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
27,https://www.zoopla.co.uk//for-sale/details/54182647?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW3,"Finchley Road, Hampstead, London NW3",580000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
28,https://www.zoopla.co.uk//for-sale/details/54182649?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW16,"Longthornton Road, Streatham SW16",300000,NA,vente,A,1,NA,NA,1 bed bungalow for sale,Bungalow,NA
29,https://www.zoopla.co.uk//for-sale/details/54182652?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW3,"Rudall Crescent, London NW3",3250000,NA,vente,A,6,NA,NA,6 bed end terrace house for sale,Maison,NA
30,https://www.zoopla.co.uk//for-sale/details/46497635?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Upminster,RM14,"Hall Lane, Upminster RM14",1100000,NA,vente,A,4,2,2,4 bed detached house for sale,Maison,NA
31,https://www.zoopla.co.uk//for-sale/details/54182633?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE4,"Chudleigh Road, London SE4",800000,NA,vente,A,3,1,3,3 bed terraced house for sale,Maison,NA
32,https://www.zoopla.co.uk//for-sale/details/54182636?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE14,"Jerningham Road, London SE14",1450000,NA,vente,A,4,2,3,4 bed semi-detached house for sale,Maison,NA
33,https://www.zoopla.co.uk//for-sale/details/50978205?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Southall,UB2,"West Park Road, Southall UB2",400000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
34,https://www.zoopla.co.uk//for-sale/details/54182628?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Edgware,HA8,"Wychwood Close, Edgware HA8",575000,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA
35,https://www.zoopla.co.uk//for-sale/details/54182608?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Hayes,UB3,"Clevedon Gardens, Hayes, Middlesex UB3",349950,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
36,https://www.zoopla.co.uk//for-sale/details/54182599?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,W7,"Oaklands Road, London W7",375000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
37,https://www.zoopla.co.uk//for-sale/details/54182602?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,W7,"Half Acre Road, London W7",699950,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
38,https://www.zoopla.co.uk//for-sale/details/54182603?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE23,"71 Devonshire Road, London SE23",475000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
39,https://www.zoopla.co.uk//for-sale/details/54182576?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE23,"Rockbourne Road, London SE23",950000,128,vente,A,3,2,2,3 bed property for sale,Maison avec jardin,NA
40,https://www.zoopla.co.uk//for-sale/details/54182565?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,W12,"Devonport Road, Shepherd's Bush W12",550000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
41,https://www.zoopla.co.uk//new-homes/details/54182550?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,W3,"Wayford Terrace, Willcott Road, London W3",1100000,NA,vente,N,3,2,1,3 bed end terrace house for sale,Maison,NA
42,https://www.zoopla.co.uk//for-sale/details/54182517?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW11,"Embassy Gardens, London SW11",650000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
43,https://www.zoopla.co.uk//for-sale/details/54182503?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,EC2A,"City Lofts, 112-116 Tabernacle Street, London EC2A",1300000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
44,https://www.zoopla.co.uk//for-sale/details/50977487?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Wembley,HA0,"Bamford Avenue, Wembley, Middlesex HA0",474950,NA,vente,A,3,NA,NA,3 bed end terrace house for sale,Maison,NA
45,https://www.zoopla.co.uk//for-sale/details/54182505?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE8,"277 Grove Street, London SE8",475000,NA,vente,A,2,2,NA,2 bed flat for sale,Appartement,NA
46,https://www.zoopla.co.uk//for-sale/details/51836856?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Greenford,UB6,"Lyndhurst Road, Greenford UB6",525000,NA,vente,A,3,1,2,3 bed end terrace house for sale,Maison,NA
47,https://www.zoopla.co.uk//for-sale/details/54182485?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,EC1V,"Dalby House, 398 City Road, Clerkenwell, London EC1V",899995,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
48,https://www.zoopla.co.uk//for-sale/details/54182477?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,EC1V,"Bath Street, London EC1V",1150000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
49,https://www.zoopla.co.uk//for-sale/details/54182462?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW18,"Garratt Lane, London SW18",625000,NA,vente,A,2,1,2,2 bed flat for sale,Appartement,NA
50,https://www.zoopla.co.uk//for-sale/details/54182452?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW7,"Millway, London NW7",1350000,NA,vente,A,4,1,2,4 bed detached house for sale,Maison,NA
51,https://www.zoopla.co.uk//for-sale/details/54182434?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW6,"Loveridge Road, Kilburn, London NW6",390000,38,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
52,https://www.zoopla.co.uk//for-sale/details/54182447?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Hornchurch,RM12,"Lancaster Drive, Hornchurch RM12",375000,NA,vente,A,3,NA,NA,3 bed semi-detached house for sale,Maison,NA
53,https://www.zoopla.co.uk//new-homes/details/47039849?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,SW1W,"Moore House, 2 Gatliff Road, London SW1W",1395000,NA,vente,N,2,2,1,2 bed flat for sale,Appartement,NA
54,https://www.zoopla.co.uk//for-sale/details/54182425?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,NW3,"East Heath Road, Hampstead, London NW3",1320000,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
55,https://www.zoopla.co.uk//for-sale/details/54182371?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E16,"Tollgate Road, West Beckton E16",279995,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
56,https://www.zoopla.co.uk//for-sale/details/54182354?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE13,"Celestial Gardens, Lewisham, Greater London SE13",350000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
57,https://www.zoopla.co.uk//for-sale/details/50991498?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Ilford,IG3,"Aldborough Road South, Seven Kings, Ilford IG3",450000,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
58,https://www.zoopla.co.uk//for-sale/details/54182331?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,EC3N,"27 Minories, London EC3N",650000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
59,https://www.zoopla.co.uk//for-sale/details/54182334?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Epsom,KT19,"Ridgeway, Epsom KT19",320000,56,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
60,https://www.zoopla.co.uk//for-sale/details/54182298?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SE22,"Landells Road, London SE22",900000,NA,vente,A,4,2,2,4 bed terraced house for sale,Maison,NA
