,URL,pages,description,prix,Enchère ou vente,Frais sans enchère
331,https://www.zoopla.co.uk//for-sale/details/54166530?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,Parking/garage for sale,5000.0,vente,NA
329,https://www.zoopla.co.uk//for-sale/details/54166545?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,Parking/garage for sale,5000.0,vente,NA
6641,https://www.zoopla.co.uk//for-sale/details/54040820?search_identifier=5f379b47885253facf691c9da832d0ff,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=67,Land for sale,5000.0,Enchères,NA
6596,https://www.zoopla.co.uk//for-sale/details/54042379?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,Parking/garage for sale,5000.0,Enchères,NA
325,https://www.zoopla.co.uk//for-sale/details/54166665?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,Land for sale,5000.0,vente,NA
5698,https://www.zoopla.co.uk//for-sale/details/54063918?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=57,Land for sale,6000.0,Enchères,NA
6574,https://www.zoopla.co.uk//for-sale/details/54034837?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=66,Studio for sale,7500.0,vente,NA
434,https://www.zoopla.co.uk//for-sale/details/54165257?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,Parking/garage for sale,10000.0,vente,NA
432,https://www.zoopla.co.uk//for-sale/details/54165252?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=5,Land for sale,10000.0,vente,NA
9401,https://www.zoopla.co.uk//for-sale/details/53977556?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=95,Property for sale,10000.0,Enchères,NA
9408,https://www.zoopla.co.uk//for-sale/details/53977447?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=95,Property for sale,12000.0,Enchères,NA
9407,https://www.zoopla.co.uk//for-sale/details/53977444?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=95,Parking/garage for sale,15000.0,Enchères,NA
9409,https://www.zoopla.co.uk//for-sale/details/53977450?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=95,Property for sale,16000.0,Enchères,NA
8539,https://www.zoopla.co.uk//for-sale/details/53996904?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,Parking/garage for sale,20000.0,vente,NA
324,https://www.zoopla.co.uk//for-sale/details/54166664?search_identifier=3ffddd95675a599ff5ad36a8a9913c84,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=4,Parking/garage for sale,20000.0,vente,NA
4246,https://www.zoopla.co.uk//for-sale/details/54092615?search_identifier=4a383953bb5d5f63baf930d0fea37709,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=43,Block of flats for sale,25000.0,vente,NA
3054,https://www.zoopla.co.uk//for-sale/details/54114332?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=31,Parking/garage for sale,25000.0,vente,NA
9117,https://www.zoopla.co.uk//for-sale/details/53983406?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Parking/garage for sale,27000.0,vente,NA
9404,https://www.zoopla.co.uk//for-sale/details/53977505?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=95,Parking/garage for sale,30000.0,Enchères,NA
9406,https://www.zoopla.co.uk//for-sale/details/53977491?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=95,Land for sale,40000.0,Enchères,NA
7872,https://www.zoopla.co.uk//for-sale/details/54010612?search_identifier=b2cba6063ea22c7a60103115a1c89a1e,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=79,2 bed flat for sale,40000.0,vente,NA
