,URL,ville,code postal,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide,adresse
0,https://www.zoopla.co.uk//for-sale/details/54185140,Londres,SW13,1350000,NA,vente,A,3,2,2,3 bed property for sale,Maison avec jardin,NA,"Stanton Road, Barnes, London SW13"
1,https://www.zoopla.co.uk//for-sale/details/54185088,London,WC1B,550000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Southampton Row, London WC1B"
2,https://www.zoopla.co.uk//for-sale/details/54185054,NA,KT3,650000,NA,vente,A,3,1,2,3 bed detached house for sale,Maison,NA,"New Malden, Surrey KT3"
3,https://www.zoopla.co.uk//for-sale/details/54185033,Londres,NW7,725000,NA,vente,A,4,3,2,4 bed end terrace house for sale,Maison,NA,"Bampton Drive, Mill Hill, London NW7"
4,https://www.zoopla.co.uk//for-sale/details/51951416, Edgware,HA8,300000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Brunel Court, 201 Green Lane, Edgware, Middlesex HA8"
5,https://www.zoopla.co.uk//for-sale/details/52524124,Londres,N8,549950,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA,"North View Road, London N8"
6,https://www.zoopla.co.uk//for-sale/details/54184987,London,W1U,3695000,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA,"Nottingham Place, Marylebone, London W1U"
7,https://www.zoopla.co.uk//for-sale/details/54184988,Londres,W10,1450000,NA,vente,A,2,2,1,2 bed property for sale,Maison avec jardin,NA,"Oxford Gardens, London W10"
8,https://www.zoopla.co.uk//for-sale/details/54184991,Londres,W10,350000,NA,vente,A,1,1,1,1 bed property for sale,Maison avec jardin,NA,"Oxford Gardens, London W10"
9,https://www.zoopla.co.uk//for-sale/details/54184980,Londres,W8,1500000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA,"Palace Gardens Terrace, London W8"
10,https://www.zoopla.co.uk//new-homes/details/54184962,London,W1U,7150000,NA,vente,N,3,NA,NA,3 bed flat for sale,Appartement,NA,"The Mansion, 9 Marylebone Lane, London W1U"
11,https://www.zoopla.co.uk//new-homes/details/54184960, Erith,DA8,490000,NA,vente,N,3,NA,NA,3 bed semi-detached house for sale,Maison,Help to buy,"Egerton Place - Houses, Off Richmer Road, Erith, Kent DA8"
12,https://www.zoopla.co.uk//new-homes/details/54184959, Erith,DA8,475000,NA,vente,N,3,NA,NA,3 bed end terrace house for sale,Maison,Help to buy,"Egerton Place, Off Richmer Road, Erith, Kent DA8"
13,https://www.zoopla.co.uk//for-sale/details/54184925,United Kingdom,IG11,450000,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA,"Barking, Essex, United Kingdom IG11"
14,https://www.zoopla.co.uk//for-sale/details/54184926,United Kingdom,RM8,325000,NA,vente,A,2,1,2,2 bed end terrace house for sale,Maison,NA,"Dagenham, Essex, United Kingdom RM8"
15,https://www.zoopla.co.uk//for-sale/details/54184911,Londres,SE1,590000,44.686343,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"West Block, County Hall Apartments, Waterloo, London SE1"
16,https://www.zoopla.co.uk//for-sale/details/54184902,Londres,NW9,650000,NA,vente,A,4,NA,NA,4 bed semi-detached house for sale,Maison,NA,"Briarwood Close, Kingsbury, London, Uk NW9"
17,https://www.zoopla.co.uk//new-homes/details/54184893,Londres,SW6,2075000,NA,vente,N,3,NA,NA,3 bed flat for sale,Appartement,NA,"Lillie Square, London SW61Ue SW6"
18,https://www.zoopla.co.uk//for-sale/details/54184886,Londres,E1,500000,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA,"Colefax Building, 23 Plumbers Row, London E1"
19,https://www.zoopla.co.uk//for-sale/details/54184879,Londres,E17,650000,NA,vente,A,3,NA,NA,3 bed terraced house for sale,Maison,NA,"Roma Road, Walthamstow, London E17"
20,https://www.zoopla.co.uk//for-sale/details/54184880,Londres,E17,565000,NA,vente,A,2,NA,NA,2 bed terraced house for sale,Maison,NA,"Woodville Road, Walthamstow, London E17"
21,https://www.zoopla.co.uk//for-sale/details/54184881,Londres,E17,625000,NA,vente,A,2,NA,NA,2 bed terraced house for sale,Maison,NA,"Parkhurst Road, Walthamstow, London E17"
22,https://www.zoopla.co.uk//for-sale/details/51875160,Londres,SE1,1400000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Tudor House, One Tower Bridge, London SE1"
23,https://www.zoopla.co.uk//for-sale/details/47815369,Londres,E14,1250000,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA,"Dollar Bay Point, 3 Dollar Bay Place E14"
24,https://www.zoopla.co.uk//new-homes/details/51875617,Londres,E14,590000,45.150858,vente,N,NA,1,1,Studio for sale,Studio,NA,"South Quay Plaza, South Quay, Canary Wharf, London E14"
25,https://www.zoopla.co.uk//for-sale/details/54184817,Londres,SW2,550000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA,"Bailey Mews, London SW2"
26,https://www.zoopla.co.uk//for-sale/details/54184799,Londres,NW6,975000,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA,"Compayne Gardens, London NW6"
27,https://www.zoopla.co.uk//for-sale/details/54184809,Greater London,TW14,425000,NA,vente,A,3,NA,NA,3 bed semi-detached house for sale,Maison,NA,"Colonial Road, Feltham, Greater London TW14"
28,https://www.zoopla.co.uk//for-sale/details/52920013,Londres,W3,1250000,NA,vente,A,3,2,3,3 bed semi-detached house for sale,Maison,NA,"Mill Hill Road, Acton W3"
29,https://www.zoopla.co.uk//for-sale/details/54184763,Carshalton,SM5,500000,NA,vente,A,4,1,2,4 bed semi-detached house for sale,Maison,NA,"Culvers Way, Carshalton SM5"
30,https://www.zoopla.co.uk//for-sale/details/54184757,Ruislip,HA4,500000,92.438485,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA,"Torcross Road, Ruislip HA4"
