,URL,pages,description,prix,Enchère ou vente
36,https://www.zoopla.co.uk//for-sale/details/54166530?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,5000.0,vente
34,https://www.zoopla.co.uk//for-sale/details/54166545?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,5000.0,vente
30,https://www.zoopla.co.uk//for-sale/details/54166665?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Land for sale,5000.0,vente
141,https://www.zoopla.co.uk//for-sale/details/54165252?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,Land for sale,10000.0,vente
143,https://www.zoopla.co.uk//for-sale/details/54165257?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,Parking/garage for sale,10000.0,vente
29,https://www.zoopla.co.uk//for-sale/details/54166664?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,20000.0,vente
3981,https://www.zoopla.co.uk//for-sale/details/54092615?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=40,Block of flats for sale,25000.0,vente
2780,https://www.zoopla.co.uk//for-sale/details/54114332?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,Parking/garage for sale,25000.0,vente
698,https://www.zoopla.co.uk//for-sale/details/54154702?search_identifier=7628ff5369be1389d7c928a9eb4c75d1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=7,Property for sale,45000.0,vente
147,https://www.zoopla.co.uk//for-sale/details/54165219?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,Property for sale,50000.0,vente
37,https://www.zoopla.co.uk//for-sale/details/54166534?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,50000.0,vente
3842,https://www.zoopla.co.uk//new-homes/details/54094687?search_identifier=821909f7980636a44357a204c6cd4dde,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=39,1 bed flat for sale,58750.0,vente
3847,https://www.zoopla.co.uk//new-homes/details/54094579?search_identifier=821909f7980636a44357a204c6cd4dde,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=39,1 bed flat for sale,59375.0,vente
3729,https://www.zoopla.co.uk//for-sale/details/54095988?search_identifier=126ebb161c184d66f0c85a917d8aca4b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=38,2 bed flat for sale,65000.0,vente
1530,https://www.zoopla.co.uk//for-sale/details/54139759?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,Land for sale,65000.0,vente
35,https://www.zoopla.co.uk//for-sale/details/54166525?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,Parking/garage for sale,65000.0,vente
16,https://www.zoopla.co.uk//new-homes/details/54166831?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0,1 bed flat for sale,68750.0,vente
2270,https://www.zoopla.co.uk//for-sale/details/54124190?search_identifier=7855bd28b4f8269093228e149b31c366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=23,2 bed flat for sale,72500.0,vente
4073,https://www.zoopla.co.uk//new-homes/details/54091313?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,1 bed flat for sale,73125.0,vente
152,https://www.zoopla.co.uk//new-homes/details/54165121?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,1 bed flat for sale,73750.0,vente
